date,lat,lon,value
12/14/2018 2:00:00,-31.416703,-60.348324,Ráfagas y/o vientos intensos
12/14/2018 2:00:00,-31.194265,-60.168875,Ráfagas y/o vientos intensos
12/13/2018 22:22:00,-33.124243,-64.412231,Lluvias intensas
12/13/2018 10:30:00,-32.951937,-60.838248,Rayos y/o truenos
12/13/2018 23:20:00,-32.201135,-65.151839,Rayos y/o truenos
12/13/2018 23:55:00,-32.234562,-64.519105,Granizo
12/13/2018 23:55:00,-32.252275,-64.479965,Granizo
12/13/2018 23:55:00,-32.319470,-64.272904,Granizo
12/14/2018 0:00:00,-32.170446,-64.193388,Lluvias intensas
12/14/2018 1:37:00,-31.344501,-64.370425,Lluvias intensas
12/13/2018 23:59:00,-34.958478,-57.952942,Lluvias intensas
12/14/2018 11:32:00,-34.958478,-57.952942,Lluvias intensas
12/14/2018 1:30:00,-31.423109,-62.128249,Rayos y/o truenos
12/11/2018 12:34:00,-33.008011,-58.618474,Ráfagas y/o vientos intensos
12/11/2018 2:00:00,-33.689407,-59.700286,Lluvias intensas
12/14/2018 2:00:00,-31.423109,-62.128249,Ráfagas y/o vientos intensos
12/14/2018 2:00:00,-32.265703,-61.922127,Lluvias intensas
12/13/2018 23:28:00,-32.185980,-64.569693,Granizo
12/14/2018 2:00:00,-33.022838,-60.656861,Ráfagas y/o vientos intensos
12/14/2018 3:00:00,-31.747153,-60.585005,Ráfagas y/o vientos intensos
12/14/2018 1:12:00,-32.951937,-60.838248,Lluvias intensas
12/14/2018 2:00:00,-32.658960,-62.315178,Ráfagas y/o vientos intensos
12/14/2018 3:00:00,-31.858627,-59.102386,Ráfagas y/o vientos intensos
12/14/2018 2:00:00,-31.435813,-62.095024,Ráfagas y/o vientos intensos
12/14/2018 1:54:00,-32.920569,-60.886929,Lluvias intensas
12/14/2018 1:00:00,-33.893481,-60.635471,Ráfagas y/o vientos intensos
12/17/2018 3:00:00,-33.144579,-59.349873,Rayos y/o truenos
12/17/2018 4:21:00,-34.840203,-64.390699,Ráfagas y/o vientos intensos
12/17/2018 3:00:00,-34.837935,-64.584590,Ráfagas y/o vientos intensos
12/17/2018 5:39:00,-34.711096,-58.406527,Lluvias intensas
12/17/2018 5:36:00,-31.441887,-64.506266,Rayos y/o truenos
12/17/2018 4:00:00,-33.179251,-68.632940,Granizo
12/17/2018 12:41:00,-34.724225,-58.281740,Lluvias intensas
12/17/2018 3:00:00,-32.473599,-58.340074,Ráfagas y/o vientos intensos
12/17/2018 3:00:00,-32.667080,-58.443899,Ráfagas y/o vientos intensos
12/17/2018 1:30:00,-35.041046,-64.263142,Ráfagas y/o vientos intensos
12/17/2018 12:00:00,-34.764871,-58.489883,Lluvias intensas
12/17/2018 12:00:00,-34.661076,-58.366974,Lluvias intensas
12/17/2018 12:00:00,-34.795532,-58.305739,Lluvias intensas
12/17/2018 12:00:00,-34.727082,-58.352350,Lluvias intensas
12/17/2018 17:30:00,-31.550379,-61.094253,Lluvias intensas
12/17/2018 12:32:00,-34.724225,-58.281740,Lluvias intensas
12/18/2018 10:00:00,-34.566937,-59.186582,Lluvias intensas
12/18/2018 10:00:00,-28.762120,-60.108551,Lluvias intensas
12/17/2018 5:54:00,-34.636421,-58.863962,Lluvias intensas
12/17/2018 2:00:00,-34.899907,-58.015630,Ráfagas y/o vientos intensos
12/17/2018 7:12:00,-34.298617,-60.277849,Ráfagas y/o vientos intensos
12/17/2018 7:12:00,,,Ráfagas y/o vientos intensos
